num_loops,max_loop_depth,has_recursion,uses_list,uses_dict,uses_set,lines_of_code,num_functions,uses_append,uses_pop,uses_2d_list,uses_subscript_assignment,uses_sorted,num_if_statements,pattern_label,efficiency_label,source
0,0,1,0,0,0,5,1,0,0,0,0,0,1,recursion,inefficient,generic
2,2,0,0,0,0,7,1,0,0,0,0,0,1,brute_force,inefficient,generic
3,3,0,0,0,0,10,1,0,0,0,0,0,0,brute_force,inefficient,generic
2,2,0,0,0,0,12,1,0,0,0,0,0,2,brute_force,inefficient,generic
3,3,0,0,0,0,10,1,0,0,0,0,0,1,brute_force,inefficient,generic
2,2,0,0,0,0,9,1,0,0,0,0,0,1,brute_force,inefficient,generic
2,2,0,0,0,0,8,1,0,0,0,0,0,1,brute_force,inefficient,generic
3,3,1,1,0,0,16,1,0,0,0,0,0,2,brute_force,inefficient,generic
2,2,1,1,0,0,16,1,0,0,0,0,0,2,brute_force,inefficient,generic
2,2,0,0,0,0,5,0,0,0,0,0,0,1,brute_force,suboptimal,generic
0,0,1,1,0,0,20,2,1,1,0,0,0,1,recursion,inefficient,generic
1,1,1,1,0,0,17,2,1,0,0,0,0,1,recursion,inefficient,generic
0,0,1,0,0,0,7,2,0,0,0,0,0,1,recursion,inefficient,generic
2,2,0,0,0,0,4,0,0,0,0,0,0,0,other,inefficient,generic
2,2,1,1,0,0,14,1,1,0,0,0,0,1,other,inefficient,generic
2,2,1,1,0,0,16,1,1,0,0,0,0,1,other,inefficient,generic
1,1,0,1,0,0,9,1,0,0,0,1,0,0,dynamic_programming,efficient,generic
1,1,0,0,0,0,9,1,0,0,0,0,0,0,dynamic_programming,efficient,generic
1,1,0,1,0,0,10,1,0,0,0,1,0,0,dynamic_programming,efficient,generic
1,1,0,1,0,0,10,1,0,0,0,1,0,0,dynamic_programming,efficient,generic
2,2,0,1,0,0,11,1,0,0,0,1,0,1,dynamic_programming,efficient,generic
4,2,0,1,0,0,20,1,0,0,0,1,0,0,dynamic_programming,efficient,generic
4,2,1,1,0,0,26,1,0,0,0,1,0,1,dynamic_programming,efficient,generic
2,2,1,1,0,0,15,1,0,0,0,1,0,1,dynamic_programming,efficient,generic
2,2,1,1,0,0,17,1,0,0,0,1,0,1,dynamic_programming,efficient,generic
1,1,1,1,0,0,20,1,0,0,0,1,0,3,dynamic_programming,efficient,generic
1,1,1,1,0,0,15,1,0,0,0,0,0,0,dynamic_programming,efficient,generic
0,0,1,0,0,0,7,1,0,0,0,0,0,1,dynamic_programming,inefficient,generic
1,1,1,1,0,0,16,1,0,0,0,0,0,3,dynamic_programming,inefficient,generic
0,0,0,1,0,0,2,0,0,0,0,0,0,0,dynamic_programming,suboptimal,generic
1,1,0,1,0,0,4,0,1,0,0,0,0,0,other,suboptimal,generic
1,1,0,0,1,0,9,1,0,0,0,1,0,1,hashing,efficient,generic
1,1,0,0,1,0,7,1,0,0,0,1,0,0,hashing,efficient,generic
1,1,0,0,0,0,9,1,0,0,0,0,0,1,hashing,efficient,generic
2,1,0,0,1,0,13,1,0,0,0,1,0,2,hashing,efficient,generic
